Exercise Type,exercise_key,modality,protocol_start,progression_rule,contraindications_flags,biomarker_hooks,cognitive_targets,mechanism_tags,safety_notes,home_equipment,coach_script_non_api,coach_prompt_api,Direct Cognitive Benefits,direct_cognitive_benefits,Indirect Cognitive Benefits,indirect_cognitive_benefits,Mechanisms (Brain/Body),mechanisms_brain_body,CV Fitness,cv_fitness,Obesity/Weight Loss/Body Composition,body_composition,Lipids,lipids,Glycemic Control,glycemic_control,Blood Pressure/Hypertension,blood_pressure,Muscle Mass/Gain Muscle,muscle_mass,Goals,goal_label
RESISTANCE,resistance,resistance,"2–3x/week full-body; 6–8 movements (push, pull, hinge, squat, carry); 2–3 sets each at RPE 6–7; 60–120 s rest.","If HRV >= baseline and sleep >=6.5h, progress load/duration by 5–10% weekly; else hold/deload.","Avoid HIIT/heavy loads if SBP>=160, DBP>=100, illness, dizziness, or glucose>250.","{""hrv_daily_delta_pct"": {""gate"": -7, ""action"": ""reduce_intensity""}, ""sleep_efficiency_pct"": {""min"": 85, ""action"": ""split_or_reduce""}, ""cgm_tir_70_180_pct"": {""min"": 70, ""action"": ""prioritize_resistance_then_zone2""}, ""sbp_rest_mmHg"": {""max"": 159, ""action"": ""no_hiit_if_exceeds""}, ""crp_mg_L"": {""max"": 3.0, ""action"": ""reduce_high_impact_volume""}}",executive_function;memory;processing_speed;attention,BDNF↑;angiogenesis↑;insulin_sensitivity↑;neuroinflammation↓;mitochondrial_function↑,"Stop if chest pain, dyspnea, dizziness, or near-fall.",none;bands;dumbbells;chair;walk_area,"Today: complete planned session at RPE 6–7. If HRV low or sleep poor, reduce intensity/volume.","You are a brain-health exercise coach. Provide plan, rationale, progression, safety. Avoid diagnosis.",,,,,,,,,,,,,,,,,1,1,Weight Loss; Muscle Mass: Strength; Blood Sugar Management; Obesity/Weight Loss/Body Composition; Obesity/Weight Loss/Body Composition; Blood Pressure/Hypertension,Weight Loss; Muscle Mass: Strength; Blood Sugar Management; Obesity/Weight Loss/Body Composition; Obesity/Weight Loss/Body Composition; Blood Pressure/Hypertension
General Resistance Training,general_resistance_training,resistance,2–3x/week; 6–8 compound + accessory moves; 2–3 sets of 8–12 reps @ RPE 6–7; 60–90 s rest.,"If HRV >= baseline and sleep >=6.5h, progress load/duration by 5–10% weekly; else hold/deload.","Avoid HIIT/heavy loads if SBP>=160, DBP>=100, illness, dizziness, or glucose>250.","{""hrv_daily_delta_pct"": {""gate"": -7, ""action"": ""reduce_intensity""}, ""sleep_efficiency_pct"": {""min"": 85, ""action"": ""split_or_reduce""}, ""cgm_tir_70_180_pct"": {""min"": 70, ""action"": ""prioritize_resistance_then_zone2""}, ""sbp_rest_mmHg"": {""max"": 159, ""action"": ""no_hiit_if_exceeds""}, ""crp_mg_L"": {""max"": 3.0, ""action"": ""reduce_high_impact_volume""}}",executive_function;memory;processing_speed;attention,BDNF↑;angiogenesis↑;insulin_sensitivity↑;neuroinflammation↓;mitochondrial_function↑,"Stop if chest pain, dyspnea, dizziness, or near-fall.",none;bands;dumbbells;chair;walk_area,"Today: complete planned session at RPE 6–7. If HRV low or sleep poor, reduce intensity/volume.","You are a brain-health exercise coach. Provide plan, rationale, progression, safety. Avoid diagnosis.","Neuroprotective. Improves global cognition, executive function, memory","Neuroprotective. Improves global cognition, executive function, memory","Reduces dementia risk, supports daily function","Reduces dementia risk, supports daily function","Increases neurotrophic factors (BDNF/NGF), Klotho, neurogenesis, brain plasticity, muscle mass/strength","Increases neurotrophic factors (BDNF/NGF), Klotho, neurogenesis, brain plasticity, muscle mass/strength",Modest improvement,Modest improvement,"Reduces fat, increases lean mass","Reduces fat, increases lean mass",Modest improvement,Modest improvement,Improves insulin sensitivity,Improves insulin sensitivity,Lowers BP,Lowers BP,1,1,Weight Loss; Muscle Mass: Strength; Blood Sugar Management; Obesity/Weight Loss/Body Composition; Obesity/Weight Loss/Body Composition; Blood Pressure/Hypertension,Weight Loss; Muscle Mass: Strength; Blood Sugar Management; Obesity/Weight Loss/Body Composition; Obesity/Weight Loss/Body Composition; Blood Pressure/Hypertension
Hypertrophy (Muscle Growth),hypertrophy_muscle_growth,resistance,2–4x/week per muscle; 8–15 sets/week total; 3–4 sets of 8–12 reps @ RPE 7–8; 60–90 s rest.,"If HRV >= baseline and sleep >=6.5h, progress load/duration by 5–10% weekly; else hold/deload.","Avoid HIIT/heavy loads if SBP>=160, DBP>=100, illness, dizziness, or glucose>250.","{""hrv_daily_delta_pct"": {""gate"": -7, ""action"": ""reduce_intensity""}, ""sleep_efficiency_pct"": {""min"": 85, ""action"": ""split_or_reduce""}, ""cgm_tir_70_180_pct"": {""min"": 70, ""action"": ""prioritize_resistance_then_zone2""}, ""sbp_rest_mmHg"": {""max"": 159, ""action"": ""no_hiit_if_exceeds""}, ""crp_mg_L"": {""max"": 3.0, ""action"": ""reduce_high_impact_volume""}}",executive_function;memory;processing_speed;attention,BDNF↑;angiogenesis↑;insulin_sensitivity↑;neuroinflammation↓;mitochondrial_function↑,"Stop if chest pain, dyspnea, dizziness, or near-fall.",none;bands;dumbbells;chair;walk_area,"Today: complete planned session at RPE 6–7. If HRV low or sleep poor, reduce intensity/volume.","You are a brain-health exercise coach. Provide plan, rationale, progression, safety. Avoid diagnosis.","Neuroprotective. May improve memory, executive function","Neuroprotective. May improve memory, executive function","Supports independence, mobility","Supports independence, mobility","Increases Klotho,IGF-1, myokines, neurotrophic signaling, muscle-brain axis","Increases Klotho,IGF-1, myokines, neurotrophic signaling, muscle-brain axis",Modest improvement,Modest improvement,Increases muscle mass,Increases muscle mass,Modest improvement,Modest improvement,Improves glucose uptake,Improves glucose uptake,Lowers BP,Lowers BP,1,1,Weight Loss; Muscle Mass: Strength; Blood Sugar Management; Obesity/Weight Loss/Body Composition; Obesity/Weight Loss/Body Composition; Blood Pressure/Hypertension,Weight Loss; Muscle Mass: Strength; Blood Sugar Management; Obesity/Weight Loss/Body Composition; Obesity/Weight Loss/Body Composition; Blood Pressure/Hypertension
Endurance (Muscular),endurance_muscular,aerobic,2–3x/week; circuit of 5–8 exercises; 2–4 sets of 15–20 reps @ RPE 5–6; 30–60 s rest; 20–30 min total.,"If HRV >= baseline and sleep >=6.5h, progress load/duration by 5–10% weekly; else hold/deload.","Avoid HIIT/heavy loads if SBP>=160, DBP>=100, illness, dizziness, or glucose>250.","{""hrv_daily_delta_pct"": {""gate"": -7, ""action"": ""reduce_intensity""}, ""sleep_efficiency_pct"": {""min"": 85, ""action"": ""split_or_reduce""}, ""cgm_tir_70_180_pct"": {""min"": 70, ""action"": ""prioritize_resistance_then_zone2""}, ""sbp_rest_mmHg"": {""max"": 159, ""action"": ""no_hiit_if_exceeds""}, ""crp_mg_L"": {""max"": 3.0, ""action"": ""reduce_high_impact_volume""}}",executive_function;memory;processing_speed;attention,BDNF↑;angiogenesis↑;insulin_sensitivity↑;neuroinflammation↓;mitochondrial_function↑,"Stop if chest pain, dyspnea, dizziness, or near-fall.",none;bands;dumbbells;chair;walk_area,"Today: complete planned session at RPE 6–7. If HRV low or sleep poor, reduce intensity/volume.","You are a brain-health exercise coach. Provide plan, rationale, progression, safety. Avoid diagnosis.","Neuroprotective. Some evidence for attention, working memory","Neuroprotective. Some evidence for attention, working memory","Supports physical activity, reduces frailty","Supports physical activity, reduces frailty","Improves mitochondrial function, vascular health, fatigue resistance. Increases Klotho","Improves mitochondrial function, vascular health, fatigue resistance. Increases Klotho",Improves,Improves,Increases endurance,Increases endurance,Modest improvement,Modest improvement,Improves glucose metabolism,Improves glucose metabolism,Lowers BP,Lowers BP,1,1,Weight Loss; Muscle Mass: Strength; Blood Sugar Management; Obesity/Weight Loss/Body Composition; Obesity/Weight Loss/Body Composition; Blood Pressure/Hypertension,Weight Loss; Muscle Mass: Strength; Blood Sugar Management; Obesity/Weight Loss/Body Composition; Obesity/Weight Loss/Body Composition; Blood Pressure/Hypertension
Strength (Maximal Force),strength_maximal_force,resistance,2x/week; 3–5 core lifts/session; 3–5 sets of 3–5 reps @ ~80–85%1RM (RPE 7–8); 3–5 min rest.,"If HRV >= baseline and sleep >=6.5h, progress load/duration by 5–10% weekly; else hold/deload.","Avoid HIIT/heavy loads if SBP>=160, DBP>=100, illness, dizziness, or glucose>250.","{""hrv_daily_delta_pct"": {""gate"": -7, ""action"": ""reduce_intensity""}, ""sleep_efficiency_pct"": {""min"": 85, ""action"": ""split_or_reduce""}, ""cgm_tir_70_180_pct"": {""min"": 70, ""action"": ""prioritize_resistance_then_zone2""}, ""sbp_rest_mmHg"": {""max"": 159, ""action"": ""no_hiit_if_exceeds""}, ""crp_mg_L"": {""max"": 3.0, ""action"": ""reduce_high_impact_volume""}}",executive_function;memory;processing_speed;attention,BDNF↑;angiogenesis↑;insulin_sensitivity↑;neuroinflammation↓;mitochondrial_function↑,"Stop if chest pain, dyspnea, dizziness, or near-fall.",none;bands;dumbbells;chair;walk_area,"Today: complete planned session at RPE 6–7. If HRV low or sleep poor, reduce intensity/volume.","You are a brain-health exercise coach. Provide plan, rationale, progression, safety. Avoid diagnosis.","Neuroprotective. Improves executive function, global cognition","Neuroprotective. Improves executive function, global cognition","Reduces fall risk, supports daily activities","Reduces fall risk, supports daily activities","Increases brain perfusion, neuroplasticity, IGF-1, neuromuscular adaptation. Increases Klotho","Increases brain perfusion, neuroplasticity, IGF-1, neuromuscular adaptation. Increases Klotho",Modest improvement,Modest improvement,Increases strength,Increases strength,Modest improvement,Modest improvement,Improves insulin action,Improves insulin action,Lowers BP,Lowers BP,1,1,Weight Loss; Muscle Mass: Strength; Blood Sugar Management; Obesity/Weight Loss/Body Composition; Obesity/Weight Loss/Body Composition; Blood Pressure/Hypertension,Weight Loss; Muscle Mass: Strength; Blood Sugar Management; Obesity/Weight Loss/Body Composition; Obesity/Weight Loss/Body Composition; Blood Pressure/Hypertension
Power (Speed+Force),power_speed+force,mixed,"2x/week; 3–4 power moves (e.g., sit-to-stand jump variants, med-ball throws); 3–5 sets of 3–5 reps; fast concentric; 2–3 min rest.","If HRV >= baseline and sleep >=6.5h, progress load/duration by 5–10% weekly; else hold/deload.","Avoid HIIT/heavy loads if SBP>=160, DBP>=100, illness, dizziness, or glucose>250.","{""hrv_daily_delta_pct"": {""gate"": -7, ""action"": ""reduce_intensity""}, ""sleep_efficiency_pct"": {""min"": 85, ""action"": ""split_or_reduce""}, ""cgm_tir_70_180_pct"": {""min"": 70, ""action"": ""prioritize_resistance_then_zone2""}, ""sbp_rest_mmHg"": {""max"": 159, ""action"": ""no_hiit_if_exceeds""}, ""crp_mg_L"": {""max"": 3.0, ""action"": ""reduce_high_impact_volume""}}",executive_function;memory;processing_speed;attention,BDNF↑;angiogenesis↑;insulin_sensitivity↑;neuroinflammation↓;mitochondrial_function↑,"Stop if chest pain, dyspnea, dizziness, or near-fall.",none;bands;dumbbells;chair;walk_area,"Today: complete planned session at RPE 6–7. If HRV low or sleep poor, reduce intensity/volume.","You are a brain-health exercise coach. Provide plan, rationale, progression, safety. Avoid diagnosis.","May enhance processing speed, executive function","May enhance processing speed, executive function","Improves reaction time, mobility","Improves reaction time, mobility","Increases fast-twitch fiber recruitment, neuroplasticity, motor unit activation","Increases fast-twitch fiber recruitment, neuroplasticity, motor unit activation",Modest improvement,Modest improvement,Increases power,Increases power,Unclear,Unclear,Unclear,Unclear,Lowers BP,Lowers BP,1,1,Weight Loss; Muscle Mass: Strength; Blood Sugar Management; Obesity/Weight Loss/Body Composition; Obesity/Weight Loss/Body Composition; Blood Pressure/Hypertension,Weight Loss; Muscle Mass: Strength; Blood Sugar Management; Obesity/Weight Loss/Body Composition; Obesity/Weight Loss/Body Composition; Blood Pressure/Hypertension
Velocity-Based Training,velocity_based_training,mixed,2x/week; 2–3 lifts; 3–5 sets of 3–6 reps; cap velocity loss ≤20% (or RPE 7 with explosive intent); 2–3 min rest.,"If HRV >= baseline and sleep >=6.5h, progress load/duration by 5–10% weekly; else hold/deload.","Avoid HIIT/heavy loads if SBP>=160, DBP>=100, illness, dizziness, or glucose>250.","{""hrv_daily_delta_pct"": {""gate"": -7, ""action"": ""reduce_intensity""}, ""sleep_efficiency_pct"": {""min"": 85, ""action"": ""split_or_reduce""}, ""cgm_tir_70_180_pct"": {""min"": 70, ""action"": ""prioritize_resistance_then_zone2""}, ""sbp_rest_mmHg"": {""max"": 159, ""action"": ""no_hiit_if_exceeds""}, ""crp_mg_L"": {""max"": 3.0, ""action"": ""reduce_high_impact_volume""}}",executive_function;memory;processing_speed;attention,BDNF↑;angiogenesis↑;insulin_sensitivity↑;neuroinflammation↓;mitochondrial_function↑,"Stop if chest pain, dyspnea, dizziness, or near-fall.",none;bands;dumbbells;chair;walk_area,"Today: complete planned session at RPE 6–7. If HRV low or sleep poor, reduce intensity/volume.","You are a brain-health exercise coach. Provide plan, rationale, progression, safety. Avoid diagnosis.",Limited evidence; possible executive function benefit,Limited evidence; possible executive function benefit,"May improve agility, balance","May improve agility, balance","Increases motor unit recruitment, neural adaptation","Increases motor unit recruitment, neural adaptation",Unclear,Unclear,Increases power/speed,Increases power/speed,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,1,1,Weight Loss; Muscle Mass: Strength; Blood Sugar Management; Obesity/Weight Loss/Body Composition; Obesity/Weight Loss/Body Composition; Blood Pressure/Hypertension,Weight Loss; Muscle Mass: Strength; Blood Sugar Management; Obesity/Weight Loss/Body Composition; Obesity/Weight Loss/Body Composition; Blood Pressure/Hypertension
Isometric,isometric,mixed,3–4x/week; 3–4 holds per exercise; 20–30 s per hold at mid-range joint angle; 60–90 s rest. Wall sits: 4×2 min with 2 min rest.,"If HRV >= baseline and sleep >=6.5h, progress load/duration by 5–10% weekly; else hold/deload.","Avoid HIIT/heavy loads if SBP>=160, DBP>=100, illness, dizziness, or glucose>250.","{""hrv_daily_delta_pct"": {""gate"": -7, ""action"": ""reduce_intensity""}, ""sleep_efficiency_pct"": {""min"": 85, ""action"": ""split_or_reduce""}, ""cgm_tir_70_180_pct"": {""min"": 70, ""action"": ""prioritize_resistance_then_zone2""}, ""sbp_rest_mmHg"": {""max"": 159, ""action"": ""no_hiit_if_exceeds""}, ""crp_mg_L"": {""max"": 3.0, ""action"": ""reduce_high_impact_volume""}}",executive_function;memory;processing_speed;attention,BDNF↑;angiogenesis↑;insulin_sensitivity↑;neuroinflammation↓;mitochondrial_function↑,"Stop if chest pain, dyspnea, dizziness, or near-fall.",none;bands;dumbbells;chair;walk_area,"Today: complete planned session at RPE 6–7. If HRV low or sleep poor, reduce intensity/volume.","You are a brain-health exercise coach. Provide plan, rationale, progression, safety. Avoid diagnosis.",Neuroprotective. Limited evidence for direct cognitive benefit,Neuroprotective. Limited evidence for direct cognitive benefit,"May support BP control, joint health","May support BP control, joint health","Improves vascular adaptation, possible neurovascular coupling. Increases Klotho","Improves vascular adaptation, possible neurovascular coupling. Increases Klotho",Modest improvement,Modest improvement,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Lowers BP,Lowers BP,0,0,Strength; Blood Pressure/Hypertension,Strength; Blood Pressure/Hypertension
Exercise Snacks,exercise_snacks,mixed,"3–5 mini-bouts/day; 1–3 min each: brisk stair climbs, 1–2 min sit-to-stands, or 3–5 min brisk walks, especially post‑meal.","If HRV >= baseline and sleep >=6.5h, progress load/duration by 5–10% weekly; else hold/deload.","Avoid HIIT/heavy loads if SBP>=160, DBP>=100, illness, dizziness, or glucose>250.","{""hrv_daily_delta_pct"": {""gate"": -7, ""action"": ""reduce_intensity""}, ""sleep_efficiency_pct"": {""min"": 85, ""action"": ""split_or_reduce""}, ""cgm_tir_70_180_pct"": {""min"": 70, ""action"": ""prioritize_resistance_then_zone2""}, ""sbp_rest_mmHg"": {""max"": 159, ""action"": ""no_hiit_if_exceeds""}, ""crp_mg_L"": {""max"": 3.0, ""action"": ""reduce_high_impact_volume""}}",executive_function;memory;processing_speed;attention,BDNF↑;angiogenesis↑;insulin_sensitivity↑;neuroinflammation↓;mitochondrial_function↑,"Stop if chest pain, dyspnea, dizziness, or near-fall.",none;bands;dumbbells;chair;walk_area,"Today: complete planned session at RPE 6–7. If HRV low or sleep poor, reduce intensity/volume.","You are a brain-health exercise coach. Provide plan, rationale, progression, safety. Avoid diagnosis.","Emerging evidence; may support attention, mood","Emerging evidence; may support attention, mood","Breaks up sedentary time, supports overall activity","Breaks up sedentary time, supports overall activity","Increases blood flow, acute neurotrophic response","Increases blood flow, acute neurotrophic response",Modest improvement,Modest improvement,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,0,0,Weight Loss; Muscle Mass: Strength; Blood Sugar Management; Obesity/Weight Loss/Body Composition; Obesity/Weight Loss/Body Composition; Blood Pressure/Hypertension,Weight Loss; Muscle Mass: Strength; Blood Sugar Management; Obesity/Weight Loss/Body Composition; Obesity/Weight Loss/Body Composition; Blood Pressure/Hypertension
Soleus Push-ups,soleus_push_ups,mixed,3–5 days/week; 10–20 min seated plantarflexion (continuous or 5×3 min with 1 min rest); progress to 20–45 min total.,"If HRV >= baseline and sleep >=6.5h, progress load/duration by 5–10% weekly; else hold/deload.","Avoid HIIT/heavy loads if SBP>=160, DBP>=100, illness, dizziness, or glucose>250.","{""hrv_daily_delta_pct"": {""gate"": -7, ""action"": ""reduce_intensity""}, ""sleep_efficiency_pct"": {""min"": 85, ""action"": ""split_or_reduce""}, ""cgm_tir_70_180_pct"": {""min"": 70, ""action"": ""prioritize_resistance_then_zone2""}, ""sbp_rest_mmHg"": {""max"": 159, ""action"": ""no_hiit_if_exceeds""}, ""crp_mg_L"": {""max"": 3.0, ""action"": ""reduce_high_impact_volume""}}",executive_function;memory;processing_speed;attention,BDNF↑;angiogenesis↑;insulin_sensitivity↑;neuroinflammation↓;mitochondrial_function↑,"Stop if chest pain, dyspnea, dizziness, or near-fall.",none;bands;dumbbells;chair;walk_area,"Today: complete planned session at RPE 6–7. If HRV low or sleep poor, reduce intensity/volume.","You are a brain-health exercise coach. Provide plan, rationale, progression, safety. Avoid diagnosis.",No direct evidence for cognition in older adults,No direct evidence for cognition in older adults,"May improve glucose control, reduce sedentary risk","May improve glucose control, reduce sedentary risk","Increases local muscle metabolism, glucose uptake","Increases local muscle metabolism, glucose uptake",Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Improves glucose metabolism,Improves glucose metabolism,Unclear,Unclear,0,0,Weight Loss; Muscle Mass: Strength; Blood Sugar Management; Obesity/Weight Loss/Body Composition; Obesity/Weight Loss/Body Composition; Blood Pressure/Hypertension,Weight Loss; Muscle Mass: Strength; Blood Sugar Management; Obesity/Weight Loss/Body Composition; Obesity/Weight Loss/Body Composition; Blood Pressure/Hypertension
